"id","practice","false_positive_rate"
69,"Optional stopping",0.27
70,"Optional stopping",0.29
71,"Optional stopping",0.32
72,"Optional stopping",0.32
73,"Optional stopping",0.43
74,"Outlier exclusion",0.11
75,"Outlier exclusion",0.12
76,"Outlier exclusion",0.15
77,"Outlier exclusion",0.17
78,"Outlier exclusion",0.19
79,"Outlier exclusion",0.2
80,"Outlier exclusion",0.22
81,"Outlier exclusion",0.25
82,"Outlier exclusion",0.25
83,"Outlier exclusion",0.26
84,"Outlier exclusion",0.27
85,"Controlling covariates",0.04
86,"Controlling covariates",0.05
87,"Controlling covariates",0.05
88,"Controlling covariates",0.06
89,"Controlling covariates",0.06
90,"Controlling covariates",0.06
91,"Controlling covariates",0.07
92,"Controlling covariates",0.07
93,"Controlling covariates",0.07
94,"Controlling covariates",0.07
95,"Controlling covariates",0.08
96,"Controlling covariates",0.08
97,"Controlling covariates",0.09
98,"Controlling covariates",0.09
99,"Controlling covariates",0.09
100,"Controlling covariates",0.09
101,"Controlling covariates",0.1
102,"Controlling covariates",0.1
103,"Controlling covariates",0.1
104,"Controlling covariates",0.11
105,"Controlling covariates",0.12
106,"Controlling covariates",0.13
107,"Controlling covariates",0.13
108,"Controlling covariates",0.14
109,"Controlling covariates",0.14
110,"Controlling covariates",0.24
111,"Controlling covariates",0.24
112,"Controlling covariates",0.25
113,"Scale redefinition",0.07
114,"Scale redefinition",0.08
115,"Scale redefinition",0.08
116,"Scale redefinition",0.08
117,"Scale redefinition",0.09
118,"Scale redefinition",0.09
119,"Scale redefinition",0.09
120,"Scale redefinition",0.1
121,"Scale redefinition",0.1
122,"Scale redefinition",0.11
123,"Scale redefinition",0.11
124,"Scale redefinition",0.11
125,"Scale redefinition",0.12
126,"Scale redefinition",0.12
127,"Scale redefinition",0.12
128,"Scale redefinition",0.13
129,"Scale redefinition",0.13
130,"Scale redefinition",0.14
131,"Scale redefinition",0.14
132,"Scale redefinition",0.16
133,"Scale redefinition",0.16
134,"Scale redefinition",0.18
135,"Scale redefinition",0.18
136,"Scale redefinition",0.19
137,"Scale redefinition",0.19
138,"Scale redefinition",0.19
139,"Scale redefinition",0.19
140,"Scale redefinition",0.2
141,"Scale redefinition",0.3
142,"Scale redefinition",0.31
143,"Scale redefinition",0.31
144,"Scale redefinition",0.32
145,"Variable transformation",0.28
146,"Variable transformation",0.29
147,"Variable transformation",0.3
148,"Variable transformation",0.32
149,"Variable transformation",0.32
150,"Variable transformation",0.34
151,"Variable transformation",0.34
152,"Variable transformation",0.35
153,"Variable transformation",0.35
154,"Variable transformation",0.35
155,"Variable transformation",0.36
156,"Variable transformation",0.37
157,"Discretizing variables",0.11
158,"Discretizing variables",0.12
159,"Discretizing variables",0.12
160,"Alt. hypothesis tests",0.07
161,"Alt. hypothesis tests",0.07
162,"Favorable imputation",0.08
163,"Favorable imputation",0.08
164,"Favorable imputation",0.09
165,"Favorable imputation",0.1
166,"Favorable imputation",0.1
167,"Favorable imputation",0.1
168,"Favorable imputation",0.11
169,"Favorable imputation",0.13
170,"Favorable imputation",0.14
171,"Favorable imputation",0.18
172,"Favorable imputation",0.24
173,"Favorable imputation",0.25
174,"Favorable imputation",0.27
175,"Favorable imputation",0.27
176,"Favorable imputation",0.29
177,"Favorable imputation",0.31
178,"Favorable imputation",0.31
179,"Favorable imputation",0.39
180,"Favorable imputation",0.4
181,"Favorable imputation",0.41
182,"Favorable imputation",0.42
183,"Subgroup analyses",0.12
184,"Subgroup analyses",0.12
185,"Subgroup analyses",0.13
186,"Subgroup analyses",0.13
187,"Subgroup analyses",0.22
188,"Subgroup analyses",0.23
189,"Subgroup analyses",0.28
190,"Subgroup analyses",0.29
191,"Subgroup analyses",0.29
192,"Subgroup analyses",0.3
193,"Incorrect rounding",0.05
194,"Incorrect rounding",0.06
